_id,psuedocode,state,district,rural_urban,assembly,parliamentary,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,school_category,school_type,lowclass,highclass,managment,pincode,year_of_establishment,year_of_recognition_pr,year_of_recognition_up,year_of_recognition_sec,year_of_recognition_hsec,special_school_for_cwsn,shift_school,resi_school,resi_type,minority_school,medium_instr1,medium_of_instr2,medium_of_instr3,medium_of_instr4,aff_board_sec,aff_board_hsec,approachable_road,pre_primary,anganwadi_premises,anganwadi_boys,anganwadi_girls,anganwadi_worker,instr_days_pr,instr_days_up,instr_days_sec,instr_days_hsec,avg_school_hrs_student_pr,avg_school_hrs_student_up,avg_school_hrs_student_sec,avg_school_hrs_student_hsec,avg_school_hrs_teacher_pr,avg_school_hrs_teacher_up,avg_school_hrs_teacher_sec,avg_school_hrs_teacher_hsec,cce_pr,cce_up,cce_sec,cce_hsec
87,4043120,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.4,"","",1,3,1,4,1,700002,1980,1981,,,,2,1,3,9,2,2,0,0,0,0,0,1,1,2,0,0,0,232,0,0,0,4.10,0.00,0.00,0.00,4.30,0.00,0.00,0.00,1,9,9,9
88,1910555,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.4,"","",1,3,1,4,1,700002,1977,1977,,,,2,1,3,9,2,2,0,0,0,0,0,1,1,2,0,0,0,232,0,0,0,4.30,0.00,0.00,0.00,5.15,0.00,0.00,0.00,1,9,9,9
89,5241399,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.4,"","",1,3,1,5,1,700037,1967,1967,,,,2,2,3,9,2,2,0,0,0,0,0,1,1,2,0,0,0,232,0,0,0,5.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,1,9,9,9
90,2444136,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.4,"","",1,3,1,5,1,700037,1972,1974,,,,2,2,3,9,2,2,0,0,0,0,0,1,1,2,0,0,0,232,0,0,0,5.10,0.00,0.00,0.00,5.10,0.00,0.00,0.00,1,9,9,9
91,8540012,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.4,"","",1,3,1,4,1,700030,1974,1974,,,,2,2,3,9,2,2,0,0,0,0,0,1,1,2,0,0,0,234,0,0,0,4.30,0.00,0.00,0.00,5.15,0.00,0.00,0.00,1,9,9,9
92,9312441,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.16,"","",7,1,5,10,1,700006,1928,,1932,1932,,2,2,3,9,2,2,0,0,0,2,0,1,9,2,0,0,0,0,232,232,0,0.00,5.30,5.30,0.00,0.00,5.40,5.40,0.00,9,2,1,9
93,6383944,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.16,"","",1,1,1,4,4,700006,1830,1955,,,,2,2,3,9,1,2,19,0,0,0,0,1,1,2,0,0,0,210,0,0,0,5.00,0.00,0.00,0.00,5.30,0.00,0.00,0.00,1,9,9,9
94,3584550,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.16,"","",7,1,5,10,1,700006,1916,,1923,1923,,2,2,2,9,2,2,0,0,0,2,0,1,9,2,0,0,0,0,232,232,0,0.00,5.40,5.40,0.00,0.00,5.40,5.40,0.00,9,1,1,9
95,2895992,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.16,"","",1,3,1,5,3,700006,1947,1947,,,,2,2,3,9,2,2,19,0,0,0,0,1,1,2,0,0,0,65,0,0,0,4.00,0.00,0.00,0.00,4.50,0.00,0.00,0.00,1,9,9,9
96,8224144,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.16,"","",7,1,5,10,1,700006,1893,,1893,1893,,2,1,3,9,2,2,0,0,0,2,0,1,9,2,0,0,0,0,232,232,0,0.00,4.30,4.30,0.00,0.00,5.00,5.00,0.00,9,2,2,9
97,1092248,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.16,"","",1,3,1,5,3,700006,1960,1960,,,,2,2,3,9,2,4,0,0,0,0,0,1,1,2,0,0,0,52,0,0,0,4.00,0.00,0.00,0.00,4.50,0.00,0.00,0.00,1,9,9,9
98,7458147,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.16,"","",7,2,5,10,1,700006,1904,,,1930,,2,2,3,9,2,2,0,0,0,2,0,1,9,2,0,0,0,0,248,248,0,0.00,5.40,5.40,0.00,0.00,6.00,6.00,0.00,9,1,1,9
99,3723082,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.16,"","",1,3,1,5,1,700006,1932,1975,,,,2,2,3,9,2,2,4,0,0,0,0,1,1,2,0,0,0,232,0,0,0,4.30,0.00,0.00,0.00,5.00,0.00,0.00,0.00,1,9,9,9
100,5231890,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.16,"","",5,1,5,12,4,700006,1830,,,1920,1963,2,2,3,9,1,2,19,0,0,2,2,1,9,2,0,0,0,0,198,198,198,0.00,5.30,5.30,5.30,0.00,5.45,5.45,5.45,9,1,1,1
101,7668831,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.80,"","",1,3,1,4,3,700007,2010,2010,,,,2,2,3,9,2,2,0,0,0,0,0,1,1,2,0,0,0,232,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,9,9,9
102,2747234,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.16,"","",1,3,1,5,1,700006,1974,1974,,,,2,2,3,9,2,4,0,0,0,0,0,1,1,2,0,0,0,232,0,0,0,5.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,1,9,9,9
103,5418185,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.16,"","",1,3,1,4,3,700006,2001,2001,,,,2,2,3,9,2,2,0,0,0,0,0,1,2,2,0,0,0,12,0,0,0,3.30,0.00,0.00,0.00,3.30,0.00,0.00,0.00,2,9,9,9
104,9921056,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.18,"","",1,3,1,4,1,700006,1975,1975,,,,2,2,3,9,2,4,0,0,0,0,0,1,1,2,0,0,0,248,0,0,0,5.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,1,9,9,9
105,4436902,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.22,"","",1,3,1,4,1,700007,1975,1975,,,,2,2,3,9,2,4,0,0,0,0,0,1,1,2,0,0,0,232,0,0,0,5.00,0.00,0.00,0.00,5.30,0.00,0.00,0.00,1,9,9,9
106,9194458,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.22,"","",1,3,1,5,1,700007,1966,1977,,,,2,2,3,9,2,4,0,0,0,0,0,1,1,2,0,0,0,224,0,0,0,5.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,1,9,9,9
