_id,psuedocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,func_boys_cwsn_friendly,func_girls_cwsn_friendly,urinal_boys,urinla_girls,handwash_near_toilet,drinking_water_available,drinking_water_functional,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,playground_available,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,ict_lab,laptop,tablet,desktop,digiboard,projector,printer,internet,dth
409,5335116,2,1,1,1,4,3,2,2,0,2,1,1,1,1,0,0,3,0,1,1,1,2,1,1,2,2,2,1,2,2,10,2,0,0,0,0,0,0,1,2
410,2641886,3,1,1,1,8,3,8,0,0,1,0,0,4,4,0,0,0,5,1,1,1,2,1,1,2,1,1,2,1,1,171,2,0,0,0,0,0,0,1,2
411,7352589,3,1,1,1,6,4,6,0,0,1,0,0,6,6,0,6,0,8,1,1,1,2,1,1,1,1,2,1,1,2,42,1,0,0,0,0,2,1,1,2
412,3948078,1,1,1,2,6,0,6,0,0,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,2,2,2,2,60,2,0,0,0,0,0,0,2,2
413,6232790,2,1,1,1,3,1,3,0,0,1,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,2,1,2,2,0,2,1,0,4,0,0,1,1,2
414,1970563,2,1,1,1,6,0,6,0,0,2,4,4,4,4,0,0,4,4,1,1,1,2,1,1,1,1,2,2,2,2,0,2,0,0,0,0,0,0,2,2
415,9592692,4,1,1,1,11,4,11,0,0,1,2,2,1,1,1,0,2,1,1,1,1,2,1,1,2,1,2,1,1,1,174,2,0,0,0,0,1,0,2,2
416,4149399,3,1,1,2,4,2,4,0,0,2,2,2,1,1,0,0,3,3,1,1,1,2,1,1,2,1,2,1,1,1,65,2,0,0,0,0,0,0,2,2
417,9138108,1,1,1,1,4,1,4,0,0,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,2,1,1,2,20,2,0,0,0,0,0,0,2,2
418,3752317,3,1,1,1,4,4,0,4,0,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,1,1,1,1,8,2,0,0,0,0,0,0,2,2
419,8203031,1,1,1,2,3,5,2,1,0,2,2,2,2,2,0,0,1,1,1,1,1,2,1,1,2,1,1,1,1,1,48,2,0,0,0,0,0,0,2,2
420,6316793,3,1,1,1,6,3,6,0,0,2,3,3,3,3,0,1,4,4,1,1,1,1,1,1,2,1,2,1,1,1,168,2,0,0,0,0,1,0,2,2
421,3673334,1,1,1,2,6,5,5,1,0,1,0,0,3,3,0,1,0,4,1,1,1,2,1,1,2,1,2,1,1,2,216,1,1,0,4,0,1,2,1,2
422,9206259,1,2,2,1,23,4,23,0,0,1,3,3,4,4,0,0,3,4,1,1,1,2,1,1,2,1,2,1,2,2,700,2,1,0,6,0,1,2,1,2
423,2566386,2,1,1,1,1,0,1,0,0,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,1,2,1,2,0,2,0,0,0,0,0,0,2,2
424,7917800,1,1,1,1,14,6,14,0,0,2,6,5,2,2,1,0,6,2,1,1,1,2,1,1,2,1,1,2,1,2,0,2,0,0,2,0,0,1,1,2
425,6382288,3,4,4,1,16,14,16,0,0,1,3,3,6,4,0,0,3,4,1,1,1,2,1,1,2,1,2,1,1,2,1144,2,1,0,1,2,2,1,1,2
426,5814566,1,1,1,5,5,1,0,0,5,1,2,2,3,3,0,0,2,3,1,1,1,2,1,1,2,1,2,1,2,2,200,2,0,0,1,0,0,0,2,2
427,4460602,1,2,2,1,94,43,94,0,0,1,43,43,53,53,0,0,25,53,1,1,1,2,1,1,2,1,1,1,2,2,2600,2,4,40,100,1,4,15,1,2
428,3113034,1,1,1,1,22,0,22,0,0,1,2,2,3,3,2,2,4,4,1,1,1,2,1,1,2,1,1,1,1,1,350,1,6,0,20,1,2,4,1,2
429,6704285,1,2,2,1,15,4,15,0,0,1,2,2,4,4,0,1,7,2,1,1,1,2,1,1,1,1,1,1,2,2,242,2,16,16,17,8,9,1,1,2
430,5181001,1,3,2,1,12,2,12,0,0,1,3,3,2,2,0,0,3,2,1,1,1,2,1,1,2,1,1,1,2,2,375,2,1,0,1,0,1,2,1,2
431,5251501,3,1,1,2,7,2,7,0,0,2,1,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,2,1,1,2,384,2,0,0,0,0,0,0,2,2
432,3267584,3,1,1,7,7,1,7,0,0,2,1,1,1,1,0,0,4,3,1,1,1,2,1,1,2,1,1,1,1,1,173,2,0,0,1,0,0,0,2,2
433,3549971,3,1,1,5,4,5,0,0,4,2,1,1,1,1,1,0,1,1,1,1,1,2,1,1,2,1,2,1,1,2,130,2,0,0,0,0,0,0,2,2
434,1959931,3,1,1,2,4,5,4,0,0,2,1,1,1,1,1,0,1,1,1,1,1,2,1,1,2,1,1,2,1,2,90,2,0,0,0,0,0,0,2,2
435,3902084,1,4,4,1,135,52,135,0,0,1,81,81,69,69,2,2,77,0,1,1,1,1,1,1,1,1,1,1,1,1,3042,1,50,0,100,40,100,6,1,2
436,1477876,3,1,1,1,10,0,10,0,0,2,5,5,6,6,0,0,6,6,1,1,1,1,1,1,2,1,1,1,1,2,245,2,0,0,0,0,0,0,2,2
437,4153060,1,2,2,1,82,4,82,0,0,1,15,15,26,26,1,1,15,26,1,1,1,2,1,1,2,1,1,1,2,2,1916,2,85,0,100,80,80,30,1,2
438,7464817,4,2,2,1,16,9,16,0,0,1,3,3,3,3,1,1,9,9,1,1,1,2,1,1,1,1,1,1,1,2,195,2,0,0,20,0,0,0,1,2
439,3834309,1,1,1,1,10,5,10,0,0,1,2,2,4,4,1,1,2,4,1,1,1,2,1,1,2,1,1,2,1,2,118,2,21,0,6,0,1,4,1,2
440,1221992,1,1,1,1,17,7,17,0,0,1,4,3,3,2,1,1,4,3,1,1,1,2,1,1,2,2,1,1,2,2,123,2,0,0,2,0,0,1,1,2
441,1852752,4,1,1,5,1,0,1,0,0,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,1,1,1,1,0,2,0,0,0,0,0,0,2,2
442,1781409,3,1,1,1,4,1,4,0,0,1,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,1,1,1,2,91,2,0,0,0,0,0,0,2,2
443,9910390,4,1,1,5,4,2,1,3,0,1,2,2,2,2,0,0,2,2,1,1,1,2,1,1,2,1,2,1,1,1,14,2,0,0,0,0,0,0,2,2
444,9814091,3,2,1,1,6,2,6,0,0,2,1,1,1,1,1,1,3,3,1,1,1,2,1,1,2,1,1,1,1,1,173,2,0,0,0,0,0,0,1,2
445,3416842,4,1,1,1,4,0,3,1,0,2,1,1,2,2,0,0,1,2,1,1,1,2,1,1,2,1,1,1,1,1,45,2,0,0,0,0,0,0,2,2
446,4930509,4,1,1,1,6,1,6,0,0,2,2,2,2,2,1,1,3,3,1,1,1,2,1,1,2,1,1,1,1,1,122,2,0,0,0,0,0,0,2,2
447,2223938,4,1,1,7,4,0,4,0,0,2,5,3,2,2,1,0,3,2,1,1,1,2,1,1,2,1,2,1,1,1,0,2,0,0,0,0,0,0,2,2
448,3748329,3,1,1,1,6,7,6,0,0,1,2,2,2,2,1,0,2,4,1,1,1,2,1,1,2,1,2,2,1,2,97,2,0,0,0,0,0,0,2,2
449,1771063,3,1,1,5,5,1,0,3,2,2,2,2,1,1,0,0,3,4,1,1,1,2,1,1,2,1,1,1,1,2,165,2,0,0,0,0,0,0,2,2
450,5258624,3,1,1,5,6,2,6,0,0,2,2,2,3,3,0,0,2,3,1,1,1,2,1,1,2,1,2,1,1,2,54,2,0,0,0,0,0,0,2,2
